fullname,LastName,FirstName,Date,Start,Pos,Min,SoTA,GA,Saves,PSxG,PKatt,PKA,PKm,PassAtt,Throws,AvgLen,GKAtt,GKAvgLen,C,GkID
David Ospina,Ospina,David,5/13/2018,1,GK,90,3,0,3,0.4,0,0,0,39,8,31.9,9,48.2,0,7
Petr Cech,Cech,Petr,5/9/2018,1,GK,90,10,3,7,3.2,1,1,0,26,7,34.5,11,66.0,1,4
Petr Cech,Cech,Petr,5/6/2018,1,GK,90,2,0,2,0.2,0,0,0,31,8,32.4,2,56.0,1,4
David Ospina,Ospina,David,4/29/2018,1,GK,90,2,2,0,1.3,0,0,0,15,4,41.1,5,49.0,0,7
David Ospina,Ospina,David,4/22/2018,1,GK,90,4,1,3,0.6,0,0,0,24,6,20.8,4,44.3,0,7
Petr Cech,Cech,Petr,4/15/2018,1,GK,90,4,2,2,0.6,0,0,0,28,6,26.3,6,34.0,1,4
Petr Cech,Cech,Petr,4/8/2018,1,GK,90,7,2,5,2.6,0,0,0,17,9,33.5,6,52.8,1,4
David Ospina,Ospina,David,4/1/2018,1,GK,90,2,0,2,0.1,0,0,0,30,6,26.3,7,48.0,0,7
Petr Cech,Cech,Petr,3/11/2018,1,GK,90,4,0,3,1.8,1,0,0,17,7,32.9,11,45.1,1,4
Petr Cech,Cech,Petr,3/4/2018,1,GK,90,6,2,4,0.9,0,0,0,31,7,35.8,7,43.9,0,4
Petr Cech,Cech,Petr,3/1/2018,1,GK,90,5,3,2,3.1,0,0,0,37,5,34.4,2,75.0,0,4
Petr Cech,Cech,Petr,2/10/2018,1,GK,90,6,1,5,1.8,0,0,0,38,12,37.2,13,43.8,0,4
Petr Cech,Cech,Petr,2/3/2018,1,GK,69,1,1,,0.3,,,,13,2,45.7,6,53.8,0,4
David Ospina,Ospina,David,2/3/2018,0,GK,21,1,0,1,0.1,0,0,0,8,3,31.1,3,46.3,0,7
Petr Cech,Cech,Petr,1/30/2018,1,GK,90,4,3,1,2.8,0,0,0,19,7,27.4,5,37.8,0,4
Petr Cech,Cech,Petr,1/20/2018,1,GK,90,5,1,4,1.1,0,0,0,27,8,28.4,5,47.8,0,4
Petr Cech,Cech,Petr,1/14/2018,1,GK,90,5,2,3,0.3,0,0,0,28,6,43.8,7,59.0,1,4
Petr Cech,Cech,Petr,1/3/2018,1,GK,90,6,2,4,2.0,1,1,0,20,7,27.0,10,34.7,1,4
Petr Cech,Cech,Petr,12/31/2017,1,GK,90,3,1,2,1.0,1,1,0,25,8,32.8,7,35.4,0,4
Petr Cech,Cech,Petr,12/28/2017,1,GK,90,2,2,0,0.6,0,0,0,16,4,33.2,13,44.4,0,4
Petr Cech,Cech,Petr,12/22/2017,1,GK,90,9,3,6,2.9,0,0,0,32,12,37.3,9,57.8,0,4
Petr Cech,Cech,Petr,12/16/2017,1,GK,90,2,0,2,0.4,0,0,0,24,8,35.2,8,37.3,0,4
Petr Cech,Cech,Petr,12/13/2017,1,GK,90,0,0,0,0.0,0,0,0,17,6,38.0,6,63.0,0,4
Petr Cech,Cech,Petr,12/10/2017,1,GK,90,3,1,2,1.2,0,0,0,29,11,30.9,4,61.5,0,4
Petr Cech,Cech,Petr,12/2/2017,1,GK,90,4,3,1,2.2,0,0,0,20,7,24.8,3,36.0,0,4
Petr Cech,Cech,Petr,11/29/2017,1,GK,90,3,0,2,0.6,0,0,0,30,5,26.9,3,19.7,0,4
Petr Cech,Cech,Petr,11/26/2017,1,GK,90,2,0,2,0.5,0,0,0,21,5,35.4,4,39.5,0,4
Petr Cech,Cech,Petr,11/18/2017,1,GK,90,4,0,4,1.0,0,0,0,23,3,47.1,7,64.3,0,4
Petr Cech,Cech,Petr,11/5/2017,1,GK,90,5,3,2,2.5,1,1,0,20,4,36.7,7,51.4,0,4
Petr Cech,Cech,Petr,10/28/2017,1,GK,90,2,1,1,0.8,0,0,0,20,8,35.6,2,24.5,0,4
Petr Cech,Cech,Petr,10/22/2017,1,GK,90,3,2,1,0.8,0,0,0,23,4,36.1,6,43.3,0,4
Petr Cech,Cech,Petr,10/14/2017,1,GK,90,2,2,0,1.7,1,1,0,25,6,43.5,8,51.9,0,4
Petr Cech,Cech,Petr,10/1/2017,1,GK,90,1,0,1,0.1,0,0,0,19,6,27.7,6,66.0,1,4
Petr Cech,Cech,Petr,9/25/2017,1,GK,90,2,0,2,0.3,0,0,0,22,8,29.5,6,50.0,0,4
Petr Cech,Cech,Petr,9/17/2017,1,GK,90,4,0,4,0.5,0,0,0,28,7,42.6,9,35.7,0,4
Petr Cech,Cech,Petr,9/9/2017,1,GK,90,2,0,2,0.6,0,0,0,29,2,43.7,5,60.2,0,4
Petr Cech,Cech,Petr,8/27/2017,1,GK,90,10,4,6,4.4,0,0,0,20,9,29.7,8,52.0,0,4
Petr Cech,Cech,Petr,8/19/2017,1,GK,90,4,1,3,1.0,0,0,0,17,6,25.2,7,29.1,1,4
Petr Cech,Cech,Petr,8/11/2017,1,GK,90,3,3,0,2.1,0,0,0,17,3,30.8,6,28.3,1,4
Bernd Leno,Leno,Bernd,5/12/2019,1,GK,90,4,1,3,1.5,0,0,0,29,5,27.8,8,41.5,0,3
Bernd Leno,Leno,Bernd,5/5/2019,1,GK,90,5,1,4,1.6,1,1,0,22,5,24.2,5,39.0,0,3
Bernd Leno,Leno,Bernd,4/28/2019,1,GK,90,12,3,9,4.1,0,0,0,25,6,47.3,7,68.1,0,3
Bernd Leno,Leno,Bernd,4/24/2019,1,GK,90,3,3,0,0.4,0,0,0,10,2,20.9,6,51.5,0,3
Bernd Leno,Leno,Bernd,4/21/2019,1,GK,90,7,3,4,1.2,0,0,0,14,4,30.1,5,24.6,0,3
Bernd Leno,Leno,Bernd,4/15/2019,1,GK,90,2,0,2,0.6,0,0,0,21,2,29.7,7,54.6,0,3
Bernd Leno,Leno,Bernd,4/7/2019,1,GK,90,6,1,5,1.6,0,0,0,30,8,29.2,11,32.6,0,3
Bernd Leno,Leno,Bernd,4/1/2019,1,GK,90,1,0,1,0.3,0,0,0,24,7,30.7,3,48.0,0,3
Bernd Leno,Leno,Bernd,3/10/2019,1,GK,90,4,0,4,1.2,0,0,0,25,6,37.2,12,50.3,0,3
Bernd Leno,Leno,Bernd,3/2/2019,1,GK,90,3,1,2,1.7,1,1,0,23,3,49.0,12,52.6,0,3
Bernd Leno,Leno,Bernd,2/27/2019,1,GK,90,5,1,4,1.0,0,0,0,29,3,30.1,3,57.7,0,3
Bernd Leno,Leno,Bernd,2/24/2019,1,GK,90,4,0,4,0.8,0,0,0,25,4,29.2,7,53.7,0,3
Bernd Leno,Leno,Bernd,2/9/2019,1,GK,90,6,1,5,1.2,0,0,0,28,6,33.2,7,64.3,0,3
Bernd Leno,Leno,Bernd,2/3/2019,1,GK,90,12,3,9,3.4,0,0,0,37,6,29.6,7,56.3,0,3
Bernd Leno,Leno,Bernd,1/29/2019,1,GK,90,2,1,1,0.7,0,0,0,22,5,26.2,11,35.5,0,3
Bernd Leno,Leno,Bernd,1/19/2019,1,GK,90,1,0,1,0.2,0,0,0,28,6,38.0,10,44.4,0,3
Bernd Leno,Leno,Bernd,1/12/2019,1,GK,90,3,1,2,0.5,0,0,0,33,9,31.1,9,30.0,0,3
Bernd Leno,Leno,Bernd,1/1/2019,1,GK,90,4,1,3,1.1,0,0,0,39,9,33.9,8,53.9,0,3
Bernd Leno,Leno,Bernd,12/29/2018,1,GK,90,10,5,5,4.9,2,2,0,36,11,32.6,7,35.3,0,3
Bernd Leno,Leno,Bernd,12/26/2018,1,GK,90,3,1,2,0.9,0,0,0,30,3,25.7,9,42.2,0,3
Bernd Leno,Leno,Bernd,12/22/2018,1,GK,90,2,1,1,1.8,0,0,0,32,5,36.4,11,59.6,0,3
Bernd Leno,Leno,Bernd,12/16/2018,1,GK,90,7,3,4,2.5,0,0,0,33,8,28.7,3,37.0,0,3
Bernd Leno,Leno,Bernd,12/8/2018,1,GK,90,0,0,0,0.0,0,0,0,32,3,31.9,9,45.6,0,3
Bernd Leno,Leno,Bernd,12/5/2018,1,GK,90,7,2,5,1.0,0,0,0,37,7,31.8,2,37.0,0,3
Bernd Leno,Leno,Bernd,12/2/2018,1,GK,90,6,2,4,1.9,1,1,0,29,4,35.8,5,54.2,0,3
Bernd Leno,Leno,Bernd,11/25/2018,1,GK,90,5,1,4,0.8,0,0,0,35,6,44.0,6,44.0,0,3
Bernd Leno,Leno,Bernd,11/11/2018,1,GK,90,5,1,4,2.5,0,0,0,24,7,19.4,2,21.5,0,3
Bernd Leno,Leno,Bernd,11/3/2018,1,GK,90,4,1,3,0.6,0,0,0,25,6,24.5,8,35.1,0,3
Bernd Leno,Leno,Bernd,10/28/2018,1,GK,90,3,2,1,2.0,2,2,0,18,4,21.1,10,24.1,0,3
Bernd Leno,Leno,Bernd,10/22/2018,1,GK,90,2,1,2,0.4,0,0,0,32,10,26.2,4,30.5,0,3
Bernd Leno,Leno,Bernd,10/7/2018,1,GK,90,4,1,3,0.6,0,0,0,35,9,29.3,7,44.6,0,3
Petr Cech,Cech,Petr,9/29/2018,1,GK,44,2,,2,0.8,,,,16,4,36.9,6,60.5,1,4
Bernd Leno,Leno,Bernd,9/29/2018,0,GK,46,3,0,3,1.2,0,0,0,14,2,24.3,6,63.3,0,3
Petr Cech,Cech,Petr,9/23/2018,1,GK,90,6,0,6,1.1,0,0,0,31,5,36.2,7,41.9,1,4
Petr Cech,Cech,Petr,9/15/2018,1,GK,90,2,1,1,0.4,0,0,0,41,11,31.0,3,37.0,1,4
Petr Cech,Cech,Petr,9/2/2018,1,GK,90,3,2,1,0.3,0,0,0,30,6,28.3,14,56.9,1,4
Petr Cech,Cech,Petr,8/25/2018,1,GK,90,5,1,4,1.4,0,0,0,26,8,28.8,6,43.7,1,4
Petr Cech,Cech,Petr,8/18/2018,1,GK,90,11,3,8,2.8,0,0,0,33,6,33.1,9,34.2,1,4
Petr Cech,Cech,Petr,8/12/2018,1,GK,90,8,2,6,2.4,0,0,0,40,6,30.2,8,41.0,1,4
Emiliano Martinez,Martinez,Emiliano,7/26/2020,1,GK,90,6,2,4,3.1,1,1,0,26,8,29.9,7,41.6,0,1
Emiliano Martinez,Martinez,Emiliano,7/21/2020,1,GK,90,3,1,2,0.2,0,0,0,20,5,17.6,5,15.0,0,1
Emiliano Martinez,Martinez,Emiliano,7/15/2020,1,GK,90,8,1,7,2.0,0,0,0,32,7,40.0,15,51.1,0,1
Emiliano Martinez,Martinez,Emiliano,7/12/2020,1,GK,90,9,2,7,3.1,0,0,0,33,8,20.9,4,18.0,0,1
Emiliano Martinez,Martinez,Emiliano,7/7/2020,1,GK,90,5,1,4,1.0,0,0,0,25,5,42.2,2,27.5,0,1
Emiliano Martinez,Martinez,Emiliano,7/4/2020,1,GK,90,1,0,1,0.2,0,0,0,28,4,31.9,9,23.7,0,1
Emiliano Martinez,Martinez,Emiliano,7/1/2020,1,GK,90,2,0,2,0.5,0,0,0,16,1,31.3,6,59.0,0,1
Emiliano Martinez,Martinez,Emiliano,6/25/2020,1,GK,90,3,0,3,0.1,0,0,0,31,6,36.4,10,50.0,0,1
Bernd Leno,Leno,Bernd,6/20/2020,1,GK,39,,,,0.0,,,,11,2,21.4,2,19.5,0,3
Emiliano Martinez,Martinez,Emiliano,6/20/2020,0,GK,51,5,2,3,1.6,0,0,0,21,4,29.0,3,42.0,0,1
Bernd Leno,Leno,Bernd,6/17/2020,1,GK,90,12,3,9,3.4,1,1,0,39,5,26.0,8,24.5,0,3
Bernd Leno,Leno,Bernd,3/7/2020,1,GK,90,6,0,6,0.8,0,0,0,22,5,30.5,9,38.2,0,3
Bernd Leno,Leno,Bernd,2/23/2020,1,GK,90,5,2,3,2.5,0,0,0,17,3,26.6,9,57.9,0,3
Bernd Leno,Leno,Bernd,2/16/2020,1,GK,90,2,0,2,0.2,0,0,0,21,5,21.6,3,32.0,0,3
Bernd Leno,Leno,Bernd,2/2/2020,1,GK,90,2,0,2,0.5,0,0,0,28,5,28.7,12,43.8,0,3
Bernd Leno,Leno,Bernd,1/21/2020,1,GK,90,8,2,6,2.8,1,1,0,22,5,32.6,9,54.4,0,3
Bernd Leno,Leno,Bernd,1/18/2020,1,GK,90,3,1,2,1.0,0,0,0,28,7,25.8,7,26.3,0,3
Bernd Leno,Leno,Bernd,1/11/2020,1,GK,90,2,1,1,0.3,0,0,0,26,8,26.1,10,28.4,0,3
Bernd Leno,Leno,Bernd,1/1/2020,1,GK,90,4,0,4,0.2,0,0,0,32,8,27.4,8,51.0,0,3
Bernd Leno,Leno,Bernd,12/29/2019,1,GK,90,4,2,2,1.1,0,0,0,28,6,31.6,8,28.6,0,3
Bernd Leno,Leno,Bernd,12/26/2019,1,GK,90,4,1,3,2.1,0,0,0,21,6,28.7,7,42.6,0,3
Bernd Leno,Leno,Bernd,12/21/2019,1,GK,90,0,0,0,0.0,0,0,0,25,3,26.0,11,41.3,0,3
Bernd Leno,Leno,Bernd,12/15/2019,1,GK,90,7,3,4,1.8,0,0,0,17,5,28.5,9,29.3,0,3
Bernd Leno,Leno,Bernd,12/9/2019,1,GK,90,4,1,3,0.7,0,0,0,38,7,22.6,8,21.8,0,3
Bernd Leno,Leno,Bernd,12/5/2019,1,GK,90,9,2,7,1.8,0,0,0,32,12,26.1,6,25.2,0,3
Bernd Leno,Leno,Bernd,12/1/2019,1,GK,90,8,2,6,1.8,0,0,0,22,3,33.0,7,37.9,0,3
Bernd Leno,Leno,Bernd,11/23/2019,1,GK,90,5,2,2,1.4,1,0,0,17,2,27.6,14,28.0,0,3
Bernd Leno,Leno,Bernd,11/9/2019,1,GK,90,7,2,5,1.6,0,0,0,32,9,30.1,11,22.4,0,3
Bernd Leno,Leno,Bernd,11/2/2019,1,GK,90,8,1,7,1.7,0,0,0,24,6,29.5,5,32.4,0,3
Bernd Leno,Leno,Bernd,10/27/2019,1,GK,90,4,2,2,1.3,1,1,0,17,5,29.8,4,17.5,0,3
Bernd Leno,Leno,Bernd,10/21/2019,1,GK,90,2,1,1,0.9,0,0,0,32,5,24.0,7,27.0,0,3
Bernd Leno,Leno,Bernd,10/6/2019,1,GK,90,2,0,2,0.3,0,0,0,24,2,39.4,11,62.9,0,3
